title,date,date_transformed,employer,location,salary,salary_copy,working_hours,day_of_week,month,min_salary,max_salary
Data Analyst Trainee,3 January,2024-01-03,ITonlinelearning Recruitment,Widmore, Training Course, Training Course,"Permanent, full-time",Wednesday,January,2,2
DHS Data Analyst,2 days ago,2024-04-25,City Plumbing ,Chorley,Competitive salary,Competitive salary,"Permanent, full-time",Thursday,April,1,1
Data Analyst Apprentice,18 April,2024-04-18,QA Ltd,Falmer,"£22,778 per annum",22778 per annum,"Permanent, full-time",Thursday,April,22778,0
Data Analyst Apprentice,12 April,2024-04-12,QA Ltd,Prescot,"£18,000 per annum",18000 per annum,"Permanent, full-time",Friday,April,18000,0
Risk Data Analyst,4 days ago,2024-04-23,The Access Group,Loughborough,Competitive salary,Competitive salary,"Permanent, full-time",Tuesday,April,1,1
Data Analyst apprentice,17 April,2024-04-17,QA Ltd,Bristol,"£15,000 - £17,000 per annum",15000 - 17000 per annum,"Permanent, full-time",Wednesday,April,15000,17000
Data Analyst - Fuel Pricing,21 March,2024-03-21, EG Group,Guide,Salary negotiable,Salary negotiable,"Permanent, full-time",Thursday,March,3,3
Data Analyst- Tableau- Power BI- Python- Higher Education,2 days ago,2024-04-25, IQ Talent Solutions,London,£300 - £312.50 per day,300 - 312.50 per day,"Contract, full-time",Thursday,April,75600,78624
Data Analyst,17 April,2024-04-17,VIQU Limited ,London,£400 - £500 per day,400 - 500 per day,"Contract, full-time",Wednesday,April,100800,126000
Data Analyst,8 April,2024-04-08,Method Resourcing,London,"£30,000 - £35,000 per annum",30000 - 35000 per annum,"Permanent, full-time",Monday,April,30000,35000
Data Analyst,4 days ago,2024-04-23,Reed,Epsom,"£30,000 - £60,000 per annum, inc benefits",30000 - 60000 per annum inc benefits,"Permanent, full-time",Tuesday,April,30000,60000
Data Analyst,2 days ago,2024-04-25,Ventula Consulting Limited,London,£350 per day,350 per day,"Contract, full-time",Thursday,April,88200,0
